model,region,color,fuel_type,transmission,engine_size_l,mileage_km,price_usd,sales_volume,sales_classification,age_car
i3,North America,black,Petrol,Manual,2.3,91458.0,33185.0,8634,High,8
M5,Europe,red,Hybrid,Automatic,2.1,252.0,66606.0,1684,Low,5
7 Series,Middle East,black,Electric,Automatic,4.7,38502.0,85604.0,5312,Low,6
M3,North America,grey,Diesel,Manual,1.7,54226.0,116198.0,7059,High,3
X1,Africa,grey,Petrol,Manual,4.1,172950.0,119996.0,9620,High,8
3 Series,Asia,white,Hybrid,Automatic,1.7,19899.0,50651.0,8157,High,6
7 Series,Europe,white,Petrol,Manual,4.4,185687.0,106473.0,8666,High,7
X1,Africa,red,Hybrid,Automatic,4.7,190652.0,41920.0,2600,Low,3
5 Series,Europe,black,Diesel,Automatic,2.5,116859.0,103384.0,9334,High,13
5 Series,Europe,red,Petrol,Manual,1.8,194101.0,34120.0,1344,Low,14
5 Series,Europe,silver,Petrol,Manual,3.2,167770.0,119412.0,8291,High,8
X3,South America,blue,Diesel,Manual,2.5,143519.0,34749.0,7553,High,8
M5,Asia,red,Electric,Manual,3.0,130509.0,94884.0,9645,High,1
3 Series,Europe,grey,Petrol,Manual,3.8,89365.0,86684.0,9474,High,7
X3,Middle East,black,Petrol,Manual,2.2,80167.0,60899.0,8000,High,10
5 Series,Asia,red,Diesel,Automatic,2.7,124260.0,39501.0,6584,Low,12
7 Series,Europe,black,Diesel,Automatic,4.2,83191.0,60731.0,6249,Low,3
i8,Middle East,grey,Petrol,Manual,3.8,110899.0,71690.0,1697,Low,7
i3,Middle East,red,Diesel,Manual,2.6,67021.0,58894.0,6072,Low,9
3 Series,South America,black,Electric,Automatic,3.8,55451.0,79774.0,1142,Low,4
7 Series,North America,silver,Hybrid,Automatic,4.2,178603.0,42764.0,9856,High,12
i3,Africa,blue,Petrol,Manual,3.6,91061.0,45834.0,7607,High,14
X3,North America,white,Diesel,Automatic,2.3,121703.0,116468.0,8333,High,12
M5,Africa,red,Petrol,Manual,1.5,88800.0,59448.0,3877,Low,10
3 Series,Africa,grey,Electric,Manual,4.3,69653.0,113482.0,4956,Low,0
X5,South America,black,Diesel,Manual,4.4,183143.0,86846.0,5598,Low,1
X1,Europe,silver,Electric,Manual,3.9,63716.0,74494.0,6791,Low,12
i3,Africa,blue,Diesel,Manual,1.8,120482.0,101137.0,968,Low,14
X1,South America,blue,Hybrid,Automatic,3.5,148268.0,109617.0,8217,High,10
3 Series,Africa,silver,Electric,Manual,4.4,33051.0,108637.0,5548,Low,5
M5,Asia,silver,Diesel,Automatic,2.9,163812.0,88181.0,148,Low,8
3 Series,South America,blue,Hybrid,Automatic,2.2,69698.0,79650.0,6447,Low,0
X3,South America,white,Petrol,Automatic,3.6,156141.0,51627.0,6673,Low,1
X5,North America,silver,Hybrid,Automatic,4.4,118309.0,99967.0,8127,High,8
X6,Europe,silver,Diesel,Automatic,1.7,64180.0,32120.0,9970,High,4
i3,Asia,blue,Hybrid,Manual,3.6,198246.0,91547.0,9832,High,6
X1,Asia,grey,Hybrid,Automatic,3.8,198285.0,102818.0,3880,Low,0
5 Series,Middle East,grey,Petrol,Manual,3.6,120789.0,49279.0,9951,High,0
5 Series,Middle East,black,Petrol,Automatic,3.8,178723.0,36571.0,7403,High,5
i8,Middle East,silver,Diesel,Manual,3.7,124371.0,96066.0,8537,High,5
X3,Europe,blue,Hybrid,Manual,2.0,126258.0,32119.0,4249,Low,3
7 Series,Middle East,blue,Diesel,Automatic,2.3,126953.0,57691.0,271,Low,2
3 Series,South America,blue,Petrol,Manual,3.7,78678.0,96429.0,6974,Low,12
X1,Middle East,grey,Electric,Manual,1.6,190540.0,112644.0,2922,Low,0
X1,Africa,red,Petrol,Automatic,3.7,70187.0,49010.0,3433,Low,8
X5,Asia,white,Petrol,Automatic,,35565.0,,6620,Low,14
3 Series,South America,black,Electric,Automatic,2.3,173100.0,101189.0,1476,Low,11
3 Series,South America,red,Electric,Automatic,3.6,68978.0,107968.0,4129,Low,2
i3,Asia,black,Petrol,Automatic,3.4,115144.0,51327.0,9128,High,11
3 Series,Asia,grey,Diesel,Manual,2.4,58991.0,84635.0,3507,Low,1
X1,Europe,blue,Hybrid,Manual,3.1,48040.0,77484.0,9106,High,10
3 Series,Europe,white,Electric,Automatic,4.7,,71328.0,3222,Low,8
X5,Africa,white,Electric,Manual,3.0,146541.0,72024.0,9331,High,8
X5,Africa,white,Electric,Automatic,3.7,123227.0,72436.0,5761,Low,2
i3,Middle East,blue,Diesel,Manual,1.6,17798.0,93997.0,6920,Low,0
5 Series,South America,blue,Electric,Manual,1.8,18642.0,53862.0,6897,Low,4
X3,Africa,black,Petrol,Manual,,10590.0,105924.0,5139,Low,2
M5,North America,grey,Petrol,Manual,4.2,31068.0,62719.0,1396,Low,11
X3,Europe,black,Petrol,Manual,2.7,197678.0,49919.0,491,Low,2
3 Series,Africa,black,Petrol,Automatic,2.3,189931.0,71591.0,6640,Low,8
X5,Europe,blue,Diesel,Manual,4.1,127392.0,86328.0,8960,High,4
X1,Middle East,white,Electric,Automatic,2.1,180074.0,42552.0,5542,Low,12
3 Series,Europe,red,Hybrid,Manual,2.4,191042.0,89156.0,7342,High,9
X1,South America,grey,Diesel,Automatic,3.0,37616.0,79927.0,1057,Low,3
M3,South America,white,Petrol,Automatic,2.7,75468.0,39495.0,7431,High,13
M5,Europe,red,Petrol,Automatic,3.5,46076.0,38271.0,6150,Low,5
X3,North America,grey,Electric,Manual,2.7,21607.0,74435.0,9536,High,2
X3,Asia,blue,Petrol,Automatic,2.9,87564.0,103988.0,5141,Low,1
M3,Asia,silver,Electric,Manual,4.5,66023.0,73953.0,1659,Low,6
X3,South America,white,Hybrid,Manual,4.6,195047.0,106673.0,4699,Low,10
M3,Africa,blue,Diesel,Manual,4.4,152887.0,42738.0,6588,Low,9
X3,Asia,grey,Hybrid,Manual,4.5,122956.0,53097.0,1474,Low,3
X6,South America,blue,Petrol,Automatic,3.5,27659.0,60936.0,2428,Low,3
3 Series,Asia,white,Hybrid,Manual,3.8,157700.0,87186.0,5065,Low,3
5 Series,Asia,black,Diesel,Automatic,3.5,133836.0,38861.0,9087,High,3
3 Series,Asia,silver,Hybrid,Automatic,4.2,10678.0,33086.0,5817,Low,11
X1,Asia,white,Hybrid,Automatic,3.4,84606.0,89868.0,3445,Low,1
X5,Asia,silver,Electric,Automatic,1.9,34635.0,87087.0,3372,Low,1
i8,North America,blue,Electric,Manual,4.3,191305.0,70057.0,7327,High,4
X3,Middle East,grey,Electric,Manual,4.2,17934.0,111173.0,808,Low,5
X1,Middle East,blue,Diesel,Automatic,4.4,157249.0,56309.0,3076,Low,8
X1,North America,grey,Petrol,Automatic,2.2,184417.0,76909.0,6636,Low,3
7 Series,Asia,red,Hybrid,Manual,2.5,31798.0,58752.0,3606,Low,6
i8,North America,blue,Hybrid,Manual,2.5,145112.0,82447.0,1206,Low,8
X1,Asia,silver,Petrol,Manual,3.3,66862.0,80705.0,7058,High,1
i8,South America,red,Hybrid,Automatic,2.0,,92666.0,9368,High,14
7 Series,Asia,white,Petrol,Automatic,2.8,28668.0,65268.0,2069,Low,14
i8,Asia,red,Petrol,Manual,2.1,61031.0,116846.0,6121,Low,6
X6,South America,blue,Diesel,Automatic,2.4,135437.0,114860.0,9792,High,4
X5,North America,blue,Hybrid,Manual,4.0,83959.0,43850.0,9612,High,1
7 Series,Africa,silver,Electric,Manual,4.5,198286.0,96859.0,8022,High,6
X6,Asia,red,Petrol,Automatic,1.6,74914.0,107293.0,3205,Low,11
M5,North America,black,Petrol,Automatic,3.5,56293.0,58700.0,249,Low,2
X3,Africa,silver,Hybrid,Automatic,1.6,60574.0,62253.0,7350,High,6
X1,North America,black,Electric,Manual,1.8,80289.0,100980.0,3581,Low,12
M5,North America,silver,Electric,Automatic,4.0,,78120.0,381,Low,8
M5,North America,white,Petrol,Manual,,54534.0,94839.0,3880,Low,9
3 Series,North America,blue,Petrol,Manual,4.3,86002.0,100678.0,2815,Low,7
5 Series,Europe,blue,Diesel,Manual,3.2,165669.0,38170.0,9239,High,4
X1,Africa,white,Petrol,Automatic,4.5,104441.0,79035.0,1036,Low,6
3 Series,South America,white,Petrol,Automatic,2.1,190846.0,56836.0,5315,Low,1
M3,Africa,black,Hybrid,Manual,2.4,180096.0,33093.0,2976,Low,10
X3,North America,black,Electric,Manual,2.0,191879.0,50319.0,1311,Low,14
X1,Africa,white,Electric,Automatic,4.3,185093.0,108905.0,5952,Low,12
i8,Africa,silver,Hybrid,Manual,2.3,187214.0,31212.0,3778,Low,5
3 Series,South America,black,Electric,Automatic,2.0,162323.0,72641.0,4298,Low,3
5 Series,Europe,silver,Electric,Manual,3.7,69712.0,82957.0,8127,High,7
M3,Africa,white,Hybrid,Manual,1.8,2655.0,91248.0,8772,High,0
X3,Asia,silver,Hybrid,Manual,1.7,66746.0,113110.0,3430,Low,4
i3,Asia,red,Diesel,Manual,1.9,90245.0,34249.0,8483,High,9
7 Series,North America,white,Hybrid,Manual,1.5,7334.0,77120.0,6825,Low,7
X1,Asia,black,Hybrid,Manual,,13275.0,79969.0,9134,High,6
X1,South America,blue,Hybrid,Manual,3.5,128136.0,101839.0,125,Low,11
X5,Africa,black,Diesel,Automatic,2.2,187108.0,105887.0,5236,Low,14
X5,South America,white,Diesel,Manual,2.3,162977.0,31112.0,2466,Low,1
7 Series,South America,black,Petrol,Manual,4.3,52940.0,51743.0,4350,Low,14
X1,Europe,white,Hybrid,Automatic,3.3,106294.0,102607.0,7920,High,5
i8,Europe,red,Diesel,Manual,3.9,106314.0,113159.0,113,Low,11
M3,Asia,blue,Diesel,Automatic,3.1,139850.0,34852.0,2275,Low,3
7 Series,Asia,blue,Diesel,Automatic,,52061.0,96938.0,1714,Low,1
X5,North America,white,Petrol,Manual,4.9,88027.0,103663.0,9847,High,8
3 Series,Asia,blue,Diesel,Automatic,3.5,196822.0,74108.0,4182,Low,13
M5,Asia,black,Electric,Automatic,2.0,65212.0,48461.0,3244,Low,12
X3,Middle East,red,Diesel,Automatic,2.9,35130.0,113525.0,6461,Low,14
M3,Europe,blue,Hybrid,Automatic,2.7,129742.0,111245.0,9520,High,10
X3,South America,blue,Electric,Automatic,2.2,73482.0,61329.0,4579,Low,14
X5,Africa,silver,Petrol,Automatic,4.8,32268.0,68638.0,7530,High,7
X5,North America,grey,Diesel,Manual,4.6,53211.0,116928.0,9850,High,14
M3,South America,grey,Petrol,Manual,2.2,154481.0,100103.0,9122,High,4
7 Series,South America,silver,Hybrid,Manual,2.7,147526.0,35576.0,1916,Low,14
X1,South America,blue,Diesel,Manual,4.2,183658.0,52709.0,3813,Low,13
i3,North America,grey,Electric,Automatic,2.2,131725.0,73410.0,6205,Low,13
M5,South America,black,Electric,Manual,3.6,50949.0,40782.0,6688,Low,3
i3,Europe,grey,Electric,Manual,3.9,20717.0,79002.0,1402,Low,9
5 Series,Middle East,silver,Petrol,Manual,3.8,135036.0,38344.0,8273,High,8
M3,Europe,white,Petrol,Manual,4.0,29746.0,103056.0,7577,High,10
M3,Europe,black,Hybrid,Manual,4.0,87426.0,60458.0,9098,High,14
M5,Europe,red,Diesel,Manual,4.9,28560.0,32486.0,4427,Low,14
X5,North America,white,Diesel,Manual,2.7,,65633.0,9311,High,12
3 Series,Africa,black,Petrol,Manual,4.6,95366.0,101460.0,3182,Low,1
i3,Africa,white,Diesel,Manual,1.6,97680.0,115240.0,5797,Low,13
X3,Africa,red,Diesel,Manual,2.5,198457.0,114845.0,577,Low,10
i3,Europe,white,Hybrid,Automatic,1.7,129001.0,105938.0,3288,Low,3
X3,South America,red,Electric,Manual,3.8,171481.0,42383.0,7041,High,5
i8,Africa,red,Diesel,Manual,1.9,60913.0,43439.0,5284,Low,9
i8,Europe,blue,Petrol,Manual,4.5,191604.0,59627.0,9454,High,8
5 Series,Asia,blue,Hybrid,Automatic,3.8,45722.0,74501.0,6935,Low,11
M3,Middle East,blue,Electric,Manual,1.6,38412.0,81786.0,5058,Low,8
3 Series,South America,grey,Diesel,Manual,4.0,175591.0,64007.0,7793,High,4
M3,North America,silver,Petrol,Manual,4.5,164356.0,36497.0,2353,Low,7
X6,Asia,black,Hybrid,Automatic,3.8,45712.0,90061.0,4643,Low,4
X1,Africa,grey,Diesel,Automatic,1.6,100516.0,49598.0,1252,Low,14
i3,South America,white,Hybrid,Automatic,4.5,57231.0,47994.0,1675,Low,0
M5,Asia,white,Petrol,Automatic,4.1,95889.0,52950.0,6177,Low,9
M5,Middle East,grey,Diesel,Automatic,2.8,55643.0,96914.0,4669,Low,7
i3,South America,grey,Diesel,Automatic,2.7,22417.0,98122.0,5178,Low,10
M5,Asia,silver,Diesel,Automatic,3.2,193534.0,70907.0,8254,High,11
M3,South America,grey,Petrol,Manual,4.5,137855.0,96941.0,6712,Low,13
i8,Asia,black,Hybrid,Automatic,2.4,6365.0,30074.0,2845,Low,9
M3,North America,grey,Electric,Automatic,1.9,167647.0,88780.0,4997,Low,9
3 Series,Middle East,red,Petrol,Manual,4.5,105037.0,73453.0,7286,High,4
i3,South America,blue,Hybrid,Manual,1.6,128016.0,107658.0,9124,High,0
X6,Europe,white,Hybrid,Manual,4.7,7762.0,61914.0,5045,Low,14
X6,South America,grey,Diesel,Manual,2.6,40764.0,116735.0,4709,Low,6
i3,Europe,silver,Hybrid,Automatic,3.3,24238.0,111742.0,1482,Low,3
M5,Africa,grey,Petrol,Automatic,2.0,195911.0,64700.0,3134,Low,4
X3,Middle East,grey,Diesel,Automatic,4.7,134039.0,70672.0,6856,Low,9
3 Series,Middle East,silver,Petrol,Automatic,4.1,116572.0,47284.0,3730,Low,2
M3,Europe,white,Diesel,Manual,4.7,194359.0,93837.0,8190,High,12
7 Series,Africa,red,Diesel,Manual,3.9,143864.0,74401.0,9067,High,11
3 Series,South America,grey,Hybrid,Automatic,2.1,37246.0,112265.0,5726,Low,3
7 Series,Asia,white,Petrol,Automatic,2.6,188234.0,71570.0,3284,Low,4
i8,Europe,white,Hybrid,Automatic,3.2,110079.0,70118.0,7254,High,11
i3,Middle East,silver,Petrol,Automatic,,53579.0,80919.0,2377,Low,12
M5,Asia,blue,Hybrid,Automatic,4.7,164678.0,49840.0,1883,Low,5
3 Series,South America,silver,Petrol,Manual,2.8,137794.0,99478.0,520,Low,12
X1,Europe,grey,Diesel,Manual,4.0,87263.0,71666.0,8913,High,0
i3,Africa,red,Diesel,Manual,4.9,86785.0,99512.0,2353,Low,12
X3,South America,grey,Petrol,Manual,2.0,156944.0,55881.0,6169,Low,11
M5,Africa,white,Diesel,Automatic,4.5,39593.0,109963.0,113,Low,8
X5,Europe,white,Diesel,Automatic,3.0,162617.0,79299.0,2353,Low,11
i3,Africa,blue,Diesel,Manual,4.1,180348.0,46141.0,8132,High,6
X1,Europe,silver,Electric,Manual,2.5,97558.0,101553.0,1718,Low,14
3 Series,Africa,silver,Diesel,Manual,2.7,124960.0,115369.0,5481,Low,7
X6,Europe,black,Electric,Manual,1.6,28972.0,89763.0,7436,High,8
X5,Europe,blue,Petrol,Automatic,4.9,141616.0,117994.0,6327,Low,13
i3,Asia,black,Diesel,Manual,4.3,42089.0,99138.0,5415,Low,7
X5,North America,silver,Diesel,Manual,1.8,102510.0,107741.0,2737,Low,14
X1,Europe,grey,Petrol,Automatic,5.0,64144.0,39207.0,4488,Low,4
5 Series,North America,blue,Hybrid,Automatic,3.6,166252.0,52030.0,1849,Low,3
X5,Asia,black,Petrol,Manual,4.5,106246.0,72271.0,6300,Low,6
X1,Europe,black,Petrol,Manual,1.7,25059.0,42749.0,3108,Low,6
